Number,Author,Date,Topic,Shorts,Link,DateTime
20,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По результатам собеседования </span> </div>');</script>",NoDate,Нужно сделать сервис для анализа позиций на Яндекс.Картах (парсер),Noshorts,https://www.fl.ru/projects/5399058/nujno-sdelat-servis-dlya-analiza-pozitsiy-na-yandekskartah-parser.html,2025-02-21 17:58:10
21,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,Парсинг garantex,Noshorts,https://www.fl.ru/projects/5398988/parsing-garantex.html,2025-02-21 17:58:13
22,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 1500&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');</script>",NoDate,Нужно спарсить каталог с сайта,Noshorts,https://www.fl.ru/projects/5398983/nujno-sparsit-katalog-s-sayta.html,2025-02-21 17:58:15
23,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,Спарсить объявления посуточной аренды квартир.,Noshorts,https://www.fl.ru/projects/5398853/sparsit-obyyavleniya-posutochnoy-arendyi-kvartir.html,2025-02-21 17:58:16
24,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,"Парсинг данных (на PHP) с сайта ""Реестр уведомлений о залоге движимого имущества"" (из PDF-файла)",Noshorts,https://www.fl.ru/projects/5398470/parsing-dannyih-na-php-s-sayta-reestr-uvedomleniy-o-zaloge-dvijimogo-imuschestva-iz-pdf-fayla.html,2025-02-21 17:58:17
25,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,Доработать (исправить) программу на python (API Вконтакте),Noshorts,https://www.fl.ru/projects/5398717/dorabotat-ispravit-programmu-na-python-api-vkontakte.html,2025-02-21 17:58:19
26,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,Парсинг сайта,Noshorts,https://www.fl.ru/projects/5398539/parsing-sayta.html,2025-02-21 17:58:21
27,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 3000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');</script>",NoDate,Постер отзывов на мой сайт,Noshorts,https://www.fl.ru/projects/5398426/poster-otzyivov-na-moy-sayt.html,2025-02-21 17:58:23
28,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');</script>",NoDate,Автоматический парсинг фото с WB и отправка уведомлений о изменениях через Telegram-бота,Noshorts,https://www.fl.ru/projects/5398336/avtomaticheskiy-parsing-foto-s-wb-i-otpravka-uvedomleniy-o-izmeneniyah-cherez-telegram-bota.html,2025-02-21 17:58:24
29,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 2000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');</script>",NoDate,Требуется парсинг товара,Noshorts,https://www.fl.ru/projects/5398162/trebuetsya-parsing-tovara.html,2025-02-21 17:58:26
30,"<script type=""text/javascript"">document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 10&nbsp;000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');</script>",NoDate,Написать чекер артикулов для доски объявлений,Noshorts,https://www.fl.ru/projects/5398105/napisat-cheker-artikulov-dlya-doski-obyyavleniy.html,2025-02-21 17:58:28
1,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,База компаний,Noshorts,https://www.fl.ru/projects/5401005/baza-kompaniy.html,2025-02-21 17:58:51
2,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,Парсер фото со цсетей,Noshorts,https://www.fl.ru/projects/5400624/parser-foto-so-tssetey.html,2025-02-21 17:58:53
3,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 15&nbsp;000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');",NoDate,"Парсер, нужно сделать генератор цифровых отпечатков  TLS,SSL",Noshorts,https://www.fl.ru/projects/5400581/parser-nujno-sdelat-generator-tsifrovyih-otpechatkov---tlsssl.html,2025-02-21 17:58:55
4,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,Спарсить сайт,Noshorts,https://www.fl.ru/projects/5400787/sparsit-sayt.html,2025-02-21 17:58:57
5,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 6000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');",NoDate,Парсинг текстового инфо с изображений,Noshorts,https://www.fl.ru/projects/5400592/parsing-tekstovogo-info-s-izobrajeniy.html,2025-02-21 17:59:00
6,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,Парсинг данных с сайта EMobiletracker (PHP),Noshorts,https://www.fl.ru/projects/5400118/parsing-dannyih-s-sayta-emobiletracker-php.html,2025-02-21 17:59:03
7,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 35&nbsp;000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');",NoDate,Разработка парсера ВК для фильтрации целевой аудитории через рекламный кабинет ВКонтакте,Noshorts,https://www.fl.ru/projects/5400503/razrabotka-parsera-vk-dlya-filtratsii-tselevoy-auditorii-cherez-reklamnyiy-kabinet-vkontakte.html,2025-02-21 17:59:05
8,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,Разработать MVP для сервиса аналитики,Noshorts,https://www.fl.ru/projects/5400357/razrabotat-mvp-dlya-servisa-analitiki.html,2025-02-21 17:59:06
9,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_13""> <span class=""text-4 text-dark text-decoration-none""> По договоренности </span> </div>');",NoDate,Доработать Парсер.,Noshorts,https://www.fl.ru/projects/5400018/dorabotat-parser.html,2025-02-21 17:59:09
10,"document.write('<div class=""d-flex align-items-center b-post__price p-0 ml-lg-16 b-post__grid_price b-post__price_fontsize_15 b-post__price_bold""> <span class=""text-4 text-dark text-decoration-none""> 10&nbsp;000&nbsp;<span class=""fl-rub""><span class=""d-none"">руб</span></span> </span> </div>');",NoDate,Python автоматизация YouTube Data API,Noshorts,https://www.fl.ru/projects/5399436/python-avtomatizatsiya-youtube-data-api.html,2025-02-21 17:59:11
